analysis_scope,policy,phase,speed_profile,altitude_profile,bs_density_profile,sample_size,mean_demand_mbps,mean_throughput_mbps,mean_throughput_gap_mbps,mean_throughput_to_demand_pct,flights_meeting_mean_demand_pct,mean_demand_satisfied_sample_pct
by_condition,reactive,growth,medium,high,dense,62,25.0,9.393064516129032,15.606935483870968,37.57225806451613,0.0,0.0
by_condition,reactive,growth,medium,high,sparse,62,25.0,11.222096774193549,13.777903225806451,44.888387096774196,0.0,0.0
by_condition,reactive,growth,medium,low,dense,62,25.0,11.280645161290321,13.719354838709679,45.122580645161285,0.0,0.0
by_condition,reactive,growth,medium,low,sparse,62,25.0,11.771290322580645,13.228709677419355,47.08516129032258,0.0,0.0
by_condition,reactive,growth,medium,mid,dense,62,25.0,10.413548387096775,14.586451612903225,41.6541935483871,0.0,0.0
by_condition,reactive,growth,medium,mid,sparse,62,25.0,11.543387096774195,13.456612903225805,46.17354838709678,0.0,0.0
by_condition,reactive,introduction,high,high,dense,62,25.0,8.296451612903226,16.703548387096774,33.185806451612905,0.0,0.0
by_condition,reactive,introduction,high,high,sparse,62,25.0,10.264032258064516,14.735967741935484,41.05612903225806,0.0,0.0
by_condition,reactive,introduction,high,low,dense,62,25.0,10.274193548387096,14.725806451612904,41.096774193548384,0.0,0.0
by_condition,reactive,introduction,high,low,sparse,62,25.0,10.95032258064516,14.04967741935484,43.80129032258064,0.0,0.0
by_condition,reactive,introduction,high,mid,dense,62,25.0,9.191935483870967,15.808064516129033,36.76774193548387,0.0,0.0
by_condition,reactive,introduction,high,mid,sparse,62,25.0,10.56241935483871,14.43758064516129,42.24967741935484,0.0,0.0
by_condition,reactive,introduction,low,high,dense,62,25.0,8.234677419354838,16.76532258064516,32.938709677419354,0.0,0.0
by_condition,reactive,introduction,low,high,sparse,62,25.0,10.235322580645162,14.764677419354838,40.94129032258065,0.0,0.0
by_condition,reactive,introduction,low,low,dense,62,25.0,10.21758064516129,14.78241935483871,40.87032258064516,0.0,0.0
by_condition,reactive,introduction,low,low,sparse,62,25.0,10.940967741935484,14.059032258064516,43.76387096774194,0.0,0.0
by_condition,reactive,introduction,low,mid,dense,62,25.0,9.116129032258065,15.883870967741935,36.46451612903226,0.0,0.0
by_condition,reactive,introduction,low,mid,sparse,62,25.0,10.564354838709678,14.435645161290322,42.25741935483871,0.0,0.0
by_condition,reactive,introduction,medium,high,dense,62,25.0,8.283548387096776,16.716451612903228,33.1341935483871,0.0,0.0
by_condition,reactive,introduction,medium,high,sparse,62,25.0,10.262419354838709,14.737580645161291,41.049677419354836,0.0,0.0
by_condition,reactive,introduction,medium,low,dense,62,25.0,10.298709677419355,14.701290322580645,41.19483870967742,0.0,0.0
by_condition,reactive,introduction,medium,low,sparse,62,25.0,10.966935483870968,14.033064516129034,43.86774193548387,0.0,0.0
by_condition,reactive,introduction,medium,mid,dense,62,25.0,9.186612903225807,15.813387096774193,36.74645161290323,0.0,0.0
by_condition,reactive,introduction,medium,mid,sparse,62,25.0,10.589193548387096,14.410806451612904,42.35677419354838,0.0,0.0
by_condition,reactive,maturity,high,high,dense,62,25.0,9.429354838709678,15.570645161290322,37.71741935483871,0.0,0.0
by_condition,reactive,maturity,high,high,sparse,62,25.0,11.651451612903225,13.348548387096775,46.6058064516129,0.0,0.0
by_condition,reactive,maturity,high,low,dense,62,25.0,11.198709677419355,13.801290322580645,44.79483870967742,0.0,0.0
by_condition,reactive,maturity,high,low,sparse,62,25.0,12.545967741935485,12.454032258064515,50.18387096774194,0.0,0.0
by_condition,reactive,maturity,high,mid,dense,62,25.0,10.338225806451613,14.661774193548387,41.35290322580645,0.0,0.0
by_condition,reactive,maturity,high,mid,sparse,62,25.0,12.124193548387098,12.875806451612902,48.49677419354839,0.0,0.0
by_condition,reactive,maturity,low,high,dense,62,25.0,9.428548387096775,15.571451612903227,37.7141935483871,0.0,0.0
by_condition,reactive,maturity,low,high,sparse,62,25.0,11.661290322580646,13.338709677419354,46.645161290322584,0.0,0.0
by_condition,reactive,maturity,low,low,dense,62,25.0,11.21016129032258,13.78983870967742,44.84064516129032,0.0,0.0
by_condition,reactive,maturity,low,low,sparse,62,25.0,12.563387096774193,12.436612903225807,50.25354838709677,0.0,0.0
by_condition,reactive,maturity,low,mid,dense,62,25.0,10.355967741935485,14.644032258064515,41.423870967741934,0.0,0.0
by_condition,reactive,maturity,low,mid,sparse,62,25.0,12.14241935483871,12.85758064516129,48.56967741935484,0.0,0.0
by_condition,reactive,maturity,medium,high,dense,62,25.0,9.44032258064516,15.55967741935484,37.76129032258064,0.0,0.0
by_condition,reactive,maturity,medium,high,sparse,62,25.0,11.659193548387098,13.340806451612902,46.63677419354839,0.0,0.0
by_condition,reactive,maturity,medium,low,dense,62,25.0,11.215483870967741,13.784516129032259,44.861935483870965,0.0,0.0
by_condition,reactive,maturity,medium,low,sparse,62,25.0,12.561774193548388,12.438225806451612,50.24709677419355,0.0,0.0
by_condition,reactive,maturity,medium,mid,dense,62,25.0,10.361935483870969,14.638064516129031,41.44774193548387,0.0,0.0
by_condition,reactive,maturity,medium,mid,sparse,62,25.0,12.144354838709678,12.855645161290322,48.57741935483871,0.0,0.0
