origin,destination,policy,mean_handovers,mean_interruption_ms,mean_latency_violations,mean_throughput_mbps,mean_sinr_db,flight_count
IncheonHub,GimpoHub,reactive,26.22048611111111,3153.8097916666666,270.9635416666667,10.363628472222222,5.362829861111111,576
IncheonHub,Hanam,proactive,23.75,793.5555555555555,921.6944444444445,11.316944444444445,5.961111111111111,36
IncheonHub,Hanam,reactive,75.52777777777777,8169.103888888889,965.8333333333334,11.945833333333333,6.834722222222222,36
IncheonHub,Jamsil,proactive,20.305555555555557,689.8666666666667,779.9555555555555,9.065833333333332,2.4995000000000003,180
IncheonHub,Jamsil,reactive,67.14444444444445,7587.167666666666,827.4833333333333,9.624500000000001,3.4026666666666667,180
IncheonHub,Namyangju,proactive,37.666666666666664,1304.2777777777778,1132.1666666666667,11.08222222222222,5.01,18
IncheonHub,Namyangju,reactive,90.55555555555556,10458.76,1182.2777777777778,11.645555555555555,5.916666666666667,18
IncheonHub,Pangyo,proactive,33.27777777777778,1152.5833333333333,950.8333333333334,8.600555555555555,1.4477777777777776,36
IncheonHub,Pangyo,reactive,95.33333333333333,10987.159722222223,1007.5277777777778,9.330555555555556,2.688611111111111,36
IncheonHub,Suwon,proactive,33.05555555555556,1134.9027777777778,931.3611111111111,11.082638888888889,6.129861111111111,72
IncheonHub,Suwon,reactive,91.65277777777777,10137.802361111111,985.25,11.827222222222222,7.229722222222222,72
IncheonHub,Uijeongbu,proactive,19.833333333333332,677.5555555555555,705.7777777777778,12.181666666666667,7.672222222222222,18
IncheonHub,Uijeongbu,reactive,55.111111111111114,6464.247222222222,734.7777777777778,12.892222222222223,8.841111111111111,18
IncheonHub,Yeouido,proactive,13.122222222222222,439.0888888888889,483.8888888888889,10.205,5.126111111111111,90
IncheonHub,Yeouido,reactive,40.81111111111111,4562.164777777778,513.2888888888889,10.764555555555555,6.092777777777778,90
IncheonHub,Yongin,proactive,35.833333333333336,1234.361111111111,1310.0555555555557,9.666666666666666,3.0811111111111114,36
IncheonHub,Yongin,reactive,131.02777777777777,15234.583333333334,1394.4166666666667,10.064166666666667,3.8466666666666662,36
Jamsil,GimpoHub,proactive,13.477777777777778,465.84444444444443,575.5333333333333,8.112444444444444,-0.49022222222222217,90
Jamsil,GimpoHub,reactive,44.18888888888889,4763.653333333334,604.0777777777778,8.800777777777778,0.5057777777777778,90
Jamsil,IncheonHub,proactive,18.75925925925926,631.6574074074074,709.3333333333334,11.226666666666667,5.953240740740741,108
Jamsil,IncheonHub,reactive,55.68518518518518,5797.726296296296,742.5925925925926,11.888981481481482,6.775,108
Jamsil,Pangyo,proactive,4.333333333333333,151.66666666666666,248.83333333333334,12.928333333333333,9.412222222222223,18
Jamsil,Pangyo,reactive,15.666666666666666,1696.1033333333335,260.1666666666667,13.165555555555555,9.864444444444445,18
Jamsil,Yeouido,proactive,6.388888888888889,218.5,248.58333333333334,7.700555555555557,0.11250000000000002,36
Jamsil,Yeouido,reactive,21.25,2201.7038888888887,261.22222222222223,9.01,1.6808333333333332,36
Namyangju,GimpoHub,proactive,24.38888888888889,822.9444444444445,841.5555555555555,11.210555555555555,4.9655555555555555,18
Namyangju,GimpoHub,reactive,59.611111111111114,6378.579444444445,860.8333333333334,11.98388888888889,6.113333333333333,18
Pangyo,GimpoHub,proactive,25.333333333333332,869.6296296296297,812.3518518518518,8.258518518518517,0.7648148148148147,54
Pangyo,GimpoHub,reactive,74.29629629629629,8314.380000000001,865.3148148148148,8.918333333333333,1.9074074074074074,54
Pangyo,Hanam,proactive,11.333333333333334,369.8333333333333,308.0,14.293333333333331,12.767777777777777,18
Pangyo,Hanam,reactive,26.944444444444443,2761.43,326.77777777777777,14.774999999999999,13.366666666666667,18
Pangyo,IncheonHub,proactive,30.40740740740741,1049.7777777777778,1034.8333333333333,9.528518518518517,2.8988888888888886,54
Pangyo,IncheonHub,reactive,94.33333333333333,10466.751111111113,1091.5185185185185,10.270555555555555,3.991481481481481,54
Pangyo,Suwon,proactive,6.055555555555555,193.2037037037037,218.25925925925927,12.435185185185185,9.406481481481482,54
Pangyo,Suwon,reactive,20.74074074074074,2081.9242592592595,233.92592592592592,13.139259259259259,10.235925925925926,54
Pangyo,Yeouido,proactive,14.777777777777779,499.3333333333333,502.05555555555554,10.141666666666667,4.34,18
Pangyo,Yeouido,reactive,41.27777777777778,4353.701666666667,524.1666666666666,11.046666666666667,5.565,18
Pyeongtaek,GimpoHub,proactive,34.888888888888886,1134.2222222222222,821.7777777777778,11.635,4.7011111111111115,18
Pyeongtaek,GimpoHub,reactive,67.77777777777777,6797.262777777778,819.6111111111111,12.927777777777777,6.288888888888889,18
Songdo,GimpoHub,proactive,10.777777777777779,347.8333333333333,388.8888888888889,13.257222222222222,10.082777777777778,18
Songdo,GimpoHub,reactive,31.444444444444443,3442.000555555556,406.72222222222223,13.892777777777777,10.943888888888889,18
Songdo,IncheonHub,proactive,4.555555555555555,158.16666666666666,181.83333333333334,16.34277777777778,14.416666666666666,18
Songdo,IncheonHub,reactive,9.777777777777779,980.4372222222222,186.16666666666666,16.52388888888889,14.68222222222222,18
Songdo,Yeouido,proactive,15.11111111111111,482.8888888888889,401.6666666666667,14.75888888888889,12.913333333333334,18
Songdo,Yeouido,reactive,28.5,3034.416111111111,406.77777777777777,15.578333333333331,13.911666666666667,18
Suwon,GimpoHub,proactive,27.5,913.9444444444445,752.0555555555555,10.701666666666666,3.69,18
Suwon,GimpoHub,reactive,59.77777777777778,6068.082777777778,757.0555555555555,11.87,5.108333333333333,18
Suwon,IncheonHub,proactive,20.916666666666668,703.3333333333334,752.4444444444445,14.038888888888888,11.375833333333334,36
Suwon,IncheonHub,reactive,52.611111111111114,5245.924999999999,774.8611111111111,14.664166666666667,12.097777777777777,36
Uijeongbu,GimpoHub,proactive,12.833333333333334,441.5,475.3333333333333,14.05,11.362222222222222,18
Uijeongbu,GimpoHub,reactive,39.666666666666664,4019.5505555555555,495.94444444444446,14.668333333333331,12.225555555555555,18
Uijeongbu,Icheon,proactive,23.72222222222222,785.5555555555555,841.0,12.854999999999999,7.125555555555555,18
