run_id,seed,phase,speed_profile,altitude_profile,bs_density_profile,bs_spacing_km,generated_flights,run_duration_s,policy,completed_flights,total_flights,total_handovers,handover_attempts,radio_handover_successes,radio_handover_failures,service_continuity_successes,service_continuity_failures,ping_pong_events,control_latency_violations,precache_hits,mean_throughput_mbps,mean_sinr_db,total_interruption_ms
56,7,growth,medium,high,sparse,5.5,31,1800.0,reactive,31,31,1293,1293,1293,0,0,1293,814,14491,0,10.91,5.26,140358.98
57,7,growth,medium,high,sparse,5.5,31,1800.0,proactive,31,31,410,410,410,0,8,402,141,13648,8,10.32,4.4,14166.0
58,7,growth,medium,high,dense,3.0,31,1800.0,reactive,31,31,1441,1441,1441,0,0,1441,871,15688,0,9.65,2.67,158256.09
59,7,growth,medium,high,dense,3.0,31,1800.0,proactive,31,31,528,528,522,6,25,503,193,14890,27,8.74,1.31,17859.0
60,7,growth,high,low,sparse,5.5,31,1800.0,reactive,31,31,1066,1066,1066,0,0,1066,654,11653,0,11.54,7.4,115322.11
61,7,growth,high,low,sparse,5.5,31,1800.0,proactive,31,31,381,381,380,1,17,364,141,11027,17,10.83,6.37,12944.0
62,7,growth,high,low,dense,3.0,31,1800.0,reactive,31,31,1067,1067,1067,0,0,1067,610,11676,0,11.48,7.12,114660.56
63,7,growth,high,low,dense,3.0,31,1800.0,proactive,31,31,468,468,460,8,55,413,161,11211,58,10.42,5.6,15046.0
64,7,growth,high,mid,sparse,5.5,31,1800.0,reactive,31,31,1061,1061,1061,0,0,1061,690,11814,0,11.28,6.19,115186.03
65,7,growth,high,mid,sparse,5.5,31,1800.0,proactive,31,31,396,396,395,1,15,381,153,11221,15,10.58,5.13,13515.0
66,7,growth,high,mid,dense,3.0,31,1800.0,reactive,31,31,1183,1183,1183,0,0,1183,700,12386,0,10.64,4.79,128272.6
67,7,growth,high,mid,dense,3.0,31,1800.0,proactive,31,31,505,505,499,6,44,461,193,11877,46,9.53,3.21,16617.0
68,7,growth,high,high,sparse,5.5,31,1800.0,reactive,31,31,1069,1069,1069,0,0,1069,690,12107,0,10.93,5.29,116310.86
69,7,growth,high,high,sparse,5.5,31,1800.0,proactive,31,31,399,399,397,2,9,390,158,11479,9,10.19,4.18,13758.0
70,7,growth,high,high,dense,3.0,31,1800.0,reactive,31,31,1269,1269,1269,0,0,1269,726,13155,0,9.67,2.69,138722.75
71,7,growth,high,high,dense,3.0,31,1800.0,proactive,31,31,536,536,530,6,30,506,198,12583,32,8.56,1.04,18024.0
72,7,maturity,low,low,sparse,5.5,31,1800.0,reactive,31,31,1670,1670,1670,0,0,1670,1001,20559,0,12.7,8.69,194066.97
73,7,maturity,low,low,sparse,5.5,31,1800.0,proactive,31,31,526,526,518,8,19,507,143,19691,19,12.25,8.05,17973.0
74,7,maturity,low,low,dense,3.0,31,1800.0,reactive,31,31,1938,1938,1938,0,0,1938,1187,23113,0,11.5,6.41,216101.39
75,7,maturity,low,low,dense,3.0,31,1800.0,proactive,31,31,619,619,612,7,20,599,134,21878,20,10.97,5.61,21205.0
76,7,maturity,low,mid,sparse,5.5,31,1800.0,reactive,31,31,1709,1709,1709,0,0,1709,1018,21381,0,12.23,6.99,198763.43
77,7,maturity,low,mid,sparse,5.5,31,1800.0,proactive,31,31,520,520,510,10,20,500,139,20428,20,11.81,6.34,17740.0
78,7,maturity,low,mid,dense,3.0,31,1800.0,reactive,31,31,1996,1996,1996,0,0,1996,1183,24585,0,10.64,3.99,223306.15
79,7,maturity,low,mid,dense,3.0,31,1800.0,proactive,31,31,629,629,621,8,15,614,123,23356,15,10.1,3.15,21670.0
80,7,maturity,low,high,sparse,5.5,31,1800.0,reactive,31,31,1765,1765,1765,0,0,1765,1010,22305,0,11.71,5.74,205064.92
81,7,maturity,low,high,sparse,5.5,31,1800.0,proactive,31,31,534,534,528,6,16,518,132,21321,16,11.28,5.09,18322.0
82,7,maturity,low,high,dense,3.0,31,1800.0,reactive,31,31,2171,2171,2171,0,0,2171,1298,26263,0,9.67,2.2,243503.3
83,7,maturity,low,high,dense,3.0,31,1800.0,proactive,31,31,656,656,648,8,18,638,138,24844,18,9.15,1.35,22546.0
84,7,maturity,medium,low,sparse,5.5,31,1800.0,reactive,31,31,1357,1357,1357,0,0,1357,747,16131,0,12.71,8.73,157291.42
85,7,maturity,medium,low,sparse,5.5,31,1800.0,proactive,31,31,498,498,496,2,27,471,136,15524,27,12.13,7.89,16809.0
86,7,maturity,medium,low,dense,3.0,31,1800.0,reactive,31,31,1634,1634,1634,0,0,1634,880,18215,0,11.51,6.44,180747.6
87,7,maturity,medium,low,dense,3.0,31,1800.0,proactive,31,31,634,634,625,9,37,597,141,17313,37,10.78,5.34,21339.0
88,7,maturity,medium,mid,sparse,5.5,31,1800.0,reactive,31,31,1415,1415,1415,0,0,1415,802,16815,0,12.24,7.0,163642.07
89,7,maturity,medium,mid,sparse,5.5,31,1800.0,proactive,31,31,485,485,480,5,23,462,131,16122,23,11.67,6.16,16446.0
90,7,maturity,medium,mid,dense,3.0,31,1800.0,reactive,31,31,1673,1673,1673,0,0,1673,904,19348,0,10.65,4.0,185798.54
91,7,maturity,medium,mid,dense,3.0,31,1800.0,proactive,31,31,622,622,614,8,29,593,146,18428,29,9.93,2.89,21103.0
92,7,maturity,medium,high,sparse,5.5,31,1800.0,reactive,31,31,1471,1471,1471,0,0,1471,799,17532,0,11.72,5.75,169753.1
93,7,maturity,medium,high,sparse,5.5,31,1800.0,proactive,31,31,490,490,486,4,21,469,125,16769,21,11.17,4.91,16667.0
94,7,maturity,medium,high,dense,3.0,31,1800.0,reactive,31,31,1781,1781,1781,0,0,1781,975,20636,0,9.69,2.22,198664.95
95,7,maturity,medium,high,dense,3.0,31,1800.0,proactive,31,31,628,628,623,5,21,607,140,19596,21,8.98,1.11,21497.0
96,7,maturity,high,low,sparse,5.5,31,1800.0,reactive,31,31,1192,1192,1192,0,0,1192,626,13558,0,12.7,8.7,137021.29
97,7,maturity,high,low,sparse,5.5,31,1800.0,proactive,31,31,518,518,517,1,32,486,155,13137,32,11.99,7.66,17394.0
98,7,maturity,high,low,dense,3.0,31,1800.0,reactive,31,31,1409,1409,1409,0,0,1409,702,15255,0,11.5,6.4,154833.22
99,7,maturity,high,low,dense,3.0,31,1800.0,proactive,31,31,626,626,612,14,50,576,143,14619,51,10.59,5.04,20737.0
100,7,maturity,high,mid,sparse,5.5,31,1800.0,reactive,31,31,1225,1225,1225,0,0,1225,648,14115,0,12.23,6.96,140811.38
101,7,maturity,high,mid,sparse,5.5,31,1800.0,proactive,31,31,517,517,516,1,26,491,147,13644,26,11.54,5.93,17497.0
102,7,maturity,high,mid,dense,3.0,31,1800.0,reactive,31,31,1497,1497,1497,0,0,1497,801,16262,0,10.64,3.97,165150.58
103,7,maturity,high,mid,dense,3.0,31,1800.0,proactive,31,31,646,646,633,13,36,610,151,15551,37,9.77,2.62,21759.0
104,7,maturity,high,high,sparse,5.5,31,1800.0,reactive,31,31,1272,1272,1272,0,0,1272,701,14708,0,11.72,5.74,146633.28
105,7,maturity,high,high,sparse,5.5,31,1800.0,proactive,31,31,533,533,530,3,17,516,150,14220,18,11.02,4.66,18241.0
106,7,maturity,high,high,dense,3.0,31,1800.0,reactive,31,31,1565,1565,1565,0,0,1565,826,17328,0,9.68,2.21,173925.73
107,7,maturity,high,high,dense,3.0,31,1800.0,proactive,31,31,654,654,643,11,20,634,161,16596,21,8.77,0.79,22407.0
108,11,introduction,low,low,sparse,5.5,31,1800.0,reactive,31,31,1277,1277,1277,0,0,1277,976,18364,0,10.83,5.88,143204.87
109,11,introduction,low,low,sparse,5.5,31,1800.0,proactive,31,31,285,285,285,0,12,273,102,17360,12,10.49,5.41,9699.0
110,11,introduction,low,low,dense,3.0,31,1800.0,reactive,31,31,1465,1465,1465,0,0,1465,963,19888,0,9.81,4.36,161155.16
111,11,introduction,low,low,dense,3.0,31,1800.0,proactive,31,31,436,436,433,3,11,425,105,18921,11,9.38,3.7,15007.0
112,11,introduction,low,mid,sparse,5.5,31,1800.0,reactive,31,31,1351,1351,1351,0,0,1351,1037,19126,0,10.29,4.15,150956.0
113,11,introduction,low,mid,sparse,5.5,31,1800.0,proactive,31,31,303,303,303,0,8,295,112,18053,8,9.94,3.67,10421.0
114,11,introduction,low,mid,dense,3.0,31,1800.0,reactive,31,31,1752,1752,1752,0,0,1752,1211,21444,0,8.59,1.41,191952.33
115,11,introduction,low,mid,dense,3.0,31,1800.0,proactive,31,31,469,469,467,2,15,454,126,20248,15,8.2,0.81,16070.0
116,11,introduction,low,high,sparse,5.5,31,1800.0,reactive,31,31,1418,1418,1418,0,0,1418,1077,19526,0,9.92,3.38,157809.4
117,11,introduction,low,high,sparse,5.5,31,1800.0,proactive,31,31,348,348,348,0,9,339,151,18432,9,9.54,2.88,11973.0
118,11,introduction,low,high,dense,3.0,31,1800.0,reactive,31,31,2017,2017,2017,0,0,2017,1447,22637,0,7.64,-0.19,221644.03
119,11,introduction,low,high,dense,3.0,31,1800.0,proactive,31,31,500,500,500,0,14,486,148,21161,14,7.21,-0.84,17178.0
120,11,introduction,medium,low,sparse,5.5,31,1800.0,reactive,31,31,1032,1032,1032,0,0,1032,758,14411,0,10.88,5.91,115721.99
121,11,introduction,medium,low,sparse,5.5,31,1800.0,proactive,31,31,258,258,258,0,17,241,83,13633,17,10.42,5.28,8639.0
122,11,introduction,medium,low,dense,3.0,31,1800.0,reactive,31,31,1182,1182,1182,0,0,1182,744,15547,0,9.93,4.46,129318.92
123,11,introduction,medium,low,dense,3.0,31,1800.0,proactive,31,31,416,416,412,4,17,399,106,14807,17,9.29,3.46,14169.0
124,11,introduction,medium,mid,sparse,5.5,31,1800.0,reactive,31,31,1048,1048,1048,0,0,1048,764,14935,0,10.36,4.22,117359.2
125,11,introduction,medium,mid,sparse,5.5,31,1800.0,proactive,31,31,275,275,275,0,11,264,93,14185,11,9.88,3.55,9372.0
126,11,introduction,medium,mid,dense,3.0,31,1800.0,reactive,31,31,1417,1417,1417,0,0,1417,948,16811,0,8.7,1.46,154390.27
127,11,introduction,medium,mid,dense,3.0,31,1800.0,proactive,31,31,435,435,431,4,16,419,107,15846,16,8.12,0.56,14857.0
128,11,introduction,medium,high,sparse,5.5,31,1800.0,reactive,31,31,1099,1099,1099,0,0,1099,814,15250,0,10.0,3.45,122564.04
129,11,introduction,medium,high,sparse,5.5,31,1800.0,proactive,31,31,283,283,283,0,6,277,102,14472,6,9.45,2.69,9767.0
130,11,introduction,medium,high,dense,3.0,31,1800.0,reactive,31,31,1604,1604,1604,0,0,1604,1110,17699,0,7.75,-0.1,175440.98
131,11,introduction,medium,high,dense,3.0,31,1800.0,proactive,31,31,483,483,481,2,16,467,148,16601,16,7.18,-1.01,16537.0
132,11,introduction,high,low,sparse,5.5,31,1800.0,reactive,31,31,895,895,895,0,0,895,620,12072,0,10.87,5.89,99871.46
133,11,introduction,high,low,sparse,5.5,31,1800.0,proactive,31,31,256,256,256,0,18,238,93,11440,18,10.29,5.07,8546.0
134,11,introduction,high,low,dense,3.0,31,1800.0,reactive,31,31,1062,1062,1062,0,0,1062,622,13064,0,9.91,4.42,115557.34
135,11,introduction,high,low,dense,3.0,31,1800.0,proactive,31,31,386,386,381,5,26,360,85,12394,26,9.09,3.12,12912.0
136,11,introduction,high,mid,sparse,5.5,31,1800.0,reactive,31,31,962,962,962,0,0,962,705,12575,0,10.33,4.17,107340.64
137,11,introduction,high,mid,sparse,5.5,31,1800.0,proactive,31,31,273,273,273,0,13,260,103,11912,13,9.71,3.28,9256.0
138,11,introduction,high,mid,dense,3.0,31,1800.0,reactive,31,31,1193,1193,1193,0,0,1193,772,14057,0,8.7,1.49,129452.31
139,11,introduction,high,mid,dense,3.0,31,1800.0,proactive,31,31,437,437,433,4,17,420,114,13307,17,7.92,0.24,14904.0
140,11,introduction,high,high,sparse,5.5,31,1800.0,reactive,31,31,1010,1010,1010,0,0,1010,752,12844,0,9.98,3.42,111750.72
141,11,introduction,high,high,sparse,5.5,31,1800.0,proactive,31,31,286,286,286,0,1,285,115,12213,1,9.25,2.37,9987.0
142,11,introduction,high,high,dense,3.0,31,1800.0,reactive,31,31,1350,1350,1350,0,0,1350,907,14808,0,7.73,-0.11,147372.72
