flight_id,algorithm,handover_count,total_latency_ms,avg_rssi,min_rssi,connection_drop_count
56,Baseline,131,7373.1264827927225,-67.10220809400204,-79.26363202078254,0
56,Proposed,347,2603.7155067548088,-67.48758068264102,-86.14268784647659,1
57,Baseline,2,108.76392215454575,-62.470662820724826,-79.5214525088576,0
57,Proposed,5,37.49329262408787,-60.640563169844036,-76.36307564281613,0
58,Baseline,136,7496.906569719345,-69.7352928014227,-81.05308856926041,0
58,Proposed,656,4925.870989923891,-70.23600229729509,-83.9468504848605,0
59,Baseline,115,6303.689786324105,-63.142054129408905,-76.3394505411267,0
59,Proposed,133,993.2846493979004,-64.70699869346792,-81.60274945419397,0
60,Baseline,64,3491.8634204983605,-61.491497315236195,-80.24189566806692,0
60,Proposed,287,2130.3092382836544,-62.648703587309136,-82.8253190361282,0
61,Baseline,201,11143.061354546251,-70.67493758093386,-81.4744442429405,0
61,Proposed,839,6338.2117589937525,-71.02434397585125,-87.02363095871404,1
62,Baseline,83,4418.669411636428,-67.19372450617674,-80.51712905878328,0
62,Proposed,385,2910.5183228008054,-67.86109880864404,-81.10707270537878,0
63,Baseline,64,3536.861822321716,-63.08893019702448,-77.22609366972365,0
63,Proposed,412,3148.876114402897,-65.7597041930033,-81.13293434616557,0
64,Baseline,3,148.61314383851982,-66.49109036613406,-75.49464841198753,0
64,Proposed,19,142.71613775775495,-66.50029352522556,-78.35426288729106,0
65,Baseline,0,0.0,-61.78685990172565,-78.2295089388328,0
65,Proposed,200,1508.556514516125,-62.74212480570955,-83.53923657783419,0
66,Baseline,57,3179.8221156529808,-61.895206820308005,-75.72130207837878,0
66,Proposed,291,2168.6837295806363,-65.55871377788516,-82.86705300039867,0
67,Baseline,80,4454.437566510145,-66.97396943183524,-81.90020689538706,0
67,Proposed,182,1356.9113309807624,-67.23318658386582,-81.51985827642977,0
68,Baseline,70,3795.0421298709784,-65.98536704110288,-81.28285599128665,0
68,Proposed,145,1069.6265801627812,-65.7026475250491,-84.70483126030396,0
69,Baseline,237,12964.033440348614,-70.7361976163439,-82.2387044072158,0
69,Proposed,963,7184.603378374495,-71.21249289258228,-84.73319079928089,0
70,Baseline,130,7299.629486433189,-60.070545461593774,-77.57165056142044,0
70,Proposed,121,870.5354973981166,-62.38389081643747,-77.8797956281928,0
71,Baseline,7,345.56514886777893,-61.6476546515486,-72.92610098569799,0
71,Proposed,3,19.723488017302405,-61.60365239662439,-75.243625545565,0
72,Baseline,40,2154.31426175748,-63.24343017976996,-85.64149462650212,1
72,Proposed,38,276.4242782626137,-62.91731748598591,-80.90358499487968,0
73,Baseline,109,6140.051654833237,-69.47370449172442,-83.91089324067364,0
73,Proposed,776,5852.585650575324,-70.34110770025345,-85.94408147574947,2
74,Baseline,123,6707.793800290985,-67.78732724795813,-78.15152461405684,0
74,Proposed,372,2755.3292319257725,-68.19556095719882,-82.186341553991,0
75,Baseline,24,1356.5984826333524,-57.06905967165681,-74.66441746268059,0
75,Proposed,5,37.12779428964798,-58.54769572585754,-74.41367254106738,0
76,Baseline,86,4724.049821985257,-61.72744189995888,-74.74448553083408,0
76,Proposed,40,312.3978570560519,-61.36012292999759,-76.2096690618247,0
77,Baseline,44,2428.607430645803,-61.62382920560503,-74.88970856567688,0
77,Proposed,29,222.8683042080865,-61.59552164781515,-77.43529858458399,0
78,Baseline,108,5906.010118895071,-68.19462737224157,-80.43567373381997,0
78,Proposed,347,2600.8989265860814,-67.19293121685186,-82.40742949498836,0
79,Baseline,57,3243.2252818876937,-66.04617834343749,-79.76458092157137,0
79,Proposed,187,1438.880369817778,-63.4035962677685,-80.66645450539428,0
80,Baseline,82,4559.733929894568,-60.97191629607205,-76.02162713104546,0
80,Proposed,96,695.7248318508501,-61.04265560233048,-78.59660445930305,0
81,Baseline,108,6138.2103394909245,-67.55510656024909,-83.1398590834649,0
81,Proposed,601,4486.83927805008,-69.33377712627005,-84.23763481340256,0
82,Baseline,82,4477.9885677954835,-67.86769661932173,-82.12831152682256,0
82,Proposed,355,2619.617216795649,-68.34993343161918,-83.38227063982603,0
83,Baseline,110,5927.183026971924,-65.66357881912644,-78.80819426680151,0
83,Proposed,168,1269.3237098566444,-64.59530373322735,-82.76079589264006,0
84,Baseline,128,7092.415712919848,-61.75029551629636,-77.52679343375496,0
84,Proposed,132,995.9466065834943,-62.002311779821355,-77.14960606165387,0
85,Baseline,85,4579.824179634504,-62.52094096843261,-80.25205994763587,0
85,Proposed,103,773.8815065613213,-62.807275691615956,-77.3407431395245,0
86,Baseline,209,11568.405859629358,-70.17948754736858,-79.756384335691,0
86,Proposed,596,4481.025280545846,-68.98033391600451,-81.36380152394842,0
87,Baseline,43,2212.749448111572,-63.91015715066688,-80.71765890935265,0
87,Proposed,333,2484.065704183002,-68.46790428812588,-82.56747221720487,0
88,Baseline,204,11036.802226538348,-68.9255627203124,-83.80131841128336,0
88,Proposed,158,1193.3454636528163,-66.28531782946806,-82.4291241156123,0
89,Baseline,79,4228.721469361584,-59.1341776166043,-75.83895398206865,0
89,Proposed,3,25.485139065494916,-59.22606263893454,-77.04954583429696,0
90,Baseline,165,9213.23553718586,-67.950336034518,-82.21248383164321,0
90,Proposed,672,5032.692528378573,-68.82887209454894,-85.96354602783106,1
91,Baseline,96,5236.675509349522,-60.0144650279049,-72.9603058473401,0
91,Proposed,10,72.71389746727357,-59.760754879036355,-72.40296766960164,0
92,Baseline,31,1685.9938254595638,-54.712497443567564,-72.31978466084979,0
92,Proposed,162,1211.0652555381391,-59.053372375282905,-81.1874564782263,0
